zip,county,n_orgs,n_human_services,total_revenue,population,poverty_count,poverty_rate,lat,lon,orgs_per_1k,hs_per_1k
99117,Lincoln County,5,0,206554.0,578.0,16.0,2.8,47.7516737821776,-118.482669,8.650519031141869,0.0
99119,Pend Oreille County,9,2,356248.0,1458.0,227.0,15.6,48.503556,-117.3291885,6.172839506172839,1.371742112482853
99122,Lincoln County,45,9,967550.0,4015.0,334.0,8.3,47.733804,-118.190781,11.207970112079702,2.2415940224159403
99125,Whitman County,2,0,131800.0,636.0,50.0,7.9,46.948467768651,-117.7798599299645,3.1446540880503147,0.0
99126,Stevens County,1,0,0.0,926.0,347.0,37.5,48.7586340511779,-117.966355337068,1.0799136069114472,0.0
99129,Stevens County,2,0,195447.0,649.0,170.0,26.2,48.02275807434695,-118.2245399401775,3.0816640986132513,0.0
99130,Whitman County,7,0,0.0,847.0,170.0,20.1,46.998081,-117.162288,8.264462809917356,0.0
99131,Stevens County,2,1,0.0,137.0,27.0,19.7,48.299785314992405,-118.0983126841565,14.598540145985401,7.299270072992701
99133,Lincoln County,2,0,0.0,1317.0,299.0,22.7,47.9301033994466,-118.912233160367,1.5186028853454823,0.0
99134,Lincoln County,6,1,88886.0,608.0,98.0,16.1,47.460879,-118.28682,9.868421052631579,1.644736842105263
99137,Stevens County,8,0,0.0,442.0,49.0,11.1,48.153042,-118.13697424851449,18.09954751131222,0.0
99139,Pend Oreille County,9,2,73148.0,970.0,28.0,2.9,48.72384,-117.406458,9.278350515463918,2.061855670103093
99141,Stevens County,40,4,910849.0,6246.0,775.0,12.4,48.65166,-118.0884105,6.404098623118796,0.6404098623118796
99143,Whitman County,7,1,289946.0,600.0,83.0,13.8,46.8001140965649,-117.820638,11.666666666666668,1.6666666666666667
99147,Lincoln County,1,1,0.0,185.0,11.0,5.9,47.827823703532,-118.429314959721,5.405405405405405,5.405405405405405
99148,Stevens County,14,1,319088.0,2381.0,138.0,5.8,48.078657,-117.6159915,5.879882402351953,0.41999160016799664
99149,Whitman County,1,0,0.0,102.0,23.0,22.5,47.228814,-117.4699485,9.803921568627452,0.0
99153,Pend Oreille County,6,0,156051.0,428.0,20.0,4.7,48.86937,-117.355842,14.018691588785046,0.0
99156,Pend Oreille County,81,11,6719864.0,9152.0,1465.0,16.0,48.15954,-117.165438,8.850524475524477,1.201923076923077
99157,Stevens County,13,1,9468.0,711.0,57.0,8.0,48.90105,-117.8032815,18.28410689170183,1.4064697609001406
99158,Whitman County,3,0,0.0,598.0,45.0,7.5,47.130876,-117.240192,5.016722408026756,0.0
99159,Lincoln County,19,2,165265.0,1114.0,112.0,10.1,47.32776,-118.7157195,17.055655296229805,1.7953321364452424
99161,Whitman County,19,2,91268.0,1464.0,37.0,2.5,46.904958,-117.0932985,12.978142076502733,1.366120218579235
99163,Whitman County,177,21,44106737.0,27922.0,8455.0,30.3,46.735047,-117.1746405,6.339087457918487,0.7520951221259222
99167,Stevens County,6,1,279455.0,935.0,87.0,9.3,48.45169715804445,-118.153161736698,6.4171122994652405,1.0695187165775402
99170,Whitman County,11,2,32958.0,1015.0,141.0,13.9,47.252286,-117.3903615,10.83743842364532,1.9704433497536944
99171,Whitman County,15,0,204414.0,991.0,118.0,11.9,47.092626,-117.6129585,15.136226034308779,0.0
99173,Stevens County,8,1,0.0,1765.0,360.0,20.4,48.04939390313925,-117.7901415,4.53257790368272,0.56657223796034
99176,Whitman County,1,0,0.0,132.0,0.0,0.0,47.0272566960962,-117.45011686847,7.575757575757576,0.0
99179,Whitman County,8,1,132062.0,647.0,28.0,4.3,46.538082,-117.085239,12.364760432766614,1.5455950540958268
99180,Pend Oreille County,7,1,664557.0,613.0,48.0,7.8,48.289563,-117.2952315,11.419249592169658,1.6313213703099512
99181,Stevens County,12,6,589015.0,2004.0,356.0,17.8,48.154563,-117.752112,5.9880239520958085,2.9940119760479043
99185,Lincoln County,17,2,353850.0,1499.0,253.0,16.9,47.77218,-118.700019,11.34089392928619,1.33422281521014
99201,Spokane County,495,84,1364669388.0,13636.0,4483.0,32.9,47.658168,-117.4208355,36.30096802581402,6.160164271047228
99202,Spokane County,200,46,894430994.0,17754.0,4431.0,25.0,47.6571645,-117.389090512373,11.265067027148811,2.590965416244227
99203,Spokane County,132,19,10211624.0,21803.0,1265.0,5.8,47.629854,-117.401418,6.054212723019768,0.8714397101316333
99204,Spokane County,35,3,21032720.0,7428.0,1400.0,18.8,47.648601,-117.4266855,4.711900915455035,0.4038772213247173
99205,Spokane County,150,18,240374239.0,42962.0,4258.0,9.9,47.6926695,-117.43036624999999,3.491457567152367,0.4189749080582841
99206,Spokane County,133,22,29030519.0,41060.0,4689.0,11.4,47.657001021323,-117.257885381903,3.239162201656113,0.535801266439357
99207,Spokane County,100,18,133707589.0,34438.0,7698.0,22.4,47.688939000000005,-117.398925,2.903769092281782,0.5226784366107208
99208,Spokane County,182,18,75512123.0,58397.0,5011.0,8.6,47.734272,-117.424989719069,3.116598455400106,0.30823501207253795
99212,Spokane County,101,16,31375989.0,20925.0,2943.0,14.1,47.6707679958751,-117.298998812914,4.826762246117085,0.7646356033452808
99216,Spokane County,74,9,11796586.0,27455.0,3282.0,12.0,47.6648249905936,-117.2248770120015,2.6953196139136772,0.3278091422327445
99217,Spokane County,59,3,7693208.0,19769.0,2378.0,12.0,47.713824,-117.3496455,2.984470635843998,0.15175274419545753
99218,Spokane County,59,11,2424884.0,16308.0,2065.0,12.7,47.7647840116568,-117.410547913267,3.6178562668628893,0.6745155751778268
99223,Spokane County,136,26,77744726.0,35450.0,2389.0,6.7,47.611377,-117.359928,3.8363892806770097,0.7334273624823696
99224,Spokane County,105,8,159138326.0,23352.0,2398.0,10.3,47.6171530094351,-117.4597875,4.496402877697841,0.34258307639602603
