ruling_year,county,n,n_active
1988,Pend Oreille County,2,2
1988,Spokane County,41,18
1988,Stevens County,6,1
1988,Whitman County,5,1
1989,Kootenai County,7,2
1989,Latah County,2,0
1989,Lincoln County,4,2
1989,Pend Oreille County,1,1
1989,Spokane County,34,13
1989,Stevens County,4,2
1989,Whitman County,5,3
1990,Kootenai County,8,3
1990,Latah County,2,1
1990,Lincoln County,2,1
1990,Pend Oreille County,1,1
1990,Spokane County,40,14
1990,Stevens County,9,3
1990,Whitman County,2,1
1991,Kootenai County,21,12
1991,Latah County,7,4
1991,Lincoln County,1,0
1991,Pend Oreille County,7,2
1991,Spokane County,45,22
1991,Stevens County,15,6
1991,Whitman County,7,4
1992,Kootenai County,9,3
1992,Latah County,5,2
1992,Lincoln County,5,4
1992,Pend Oreille County,3,0
1992,Spokane County,60,20
1992,Stevens County,6,1
1992,Whitman County,5,2
1993,Kootenai County,16,8
1993,Latah County,3,2
1993,Spokane County,53,22
1993,Stevens County,4,1
1993,Whitman County,5,1
1994,Kootenai County,17,9
1994,Latah County,9,3
1994,Lincoln County,3,1
1994,Pend Oreille County,4,1
1994,Spokane County,81,31
1994,Stevens County,9,1
1994,Whitman County,5,2
1995,Kootenai County,17,7
1995,Latah County,8,4
1995,Pend Oreille County,2,2
1995,Spokane County,60,34
1995,Stevens County,6,2
1995,Whitman County,7,4
1996,Kootenai County,23,11
1996,Latah County,7,5
1996,Lincoln County,4,3
1996,Pend Oreille County,5,1
1996,Spokane County,63,28
1996,Stevens County,8,4
1996,Whitman County,8,1
1997,Kootenai County,5,2
1997,Latah County,5,2
1997,Lincoln County,1,1
1997,Pend Oreille County,2,1
1997,Spokane County,77,38
1997,Stevens County,5,2
1997,Whitman County,4,2
1998,Kootenai County,26,15
1998,Latah County,9,2
1998,Lincoln County,1,1
1998,Pend Oreille County,2,2
1998,Spokane County,61,23
1998,Stevens County,8,1
1998,Whitman County,8,2
1999,Kootenai County,21,11
1999,Latah County,5,3
1999,Lincoln County,5,2
1999,Pend Oreille County,2,0
1999,Spokane County,63,31
1999,Stevens County,8,1
1999,Whitman County,7,5
2000,Kootenai County,20,7
2000,Latah County,11,4
2000,Lincoln County,1,0
2000,Spokane County,69,26
2000,Stevens County,9,2
2000,Whitman County,10,6
2001,Kootenai County,26,11
2001,Latah County,4,1
2001,Lincoln County,2,0
2001,Pend Oreille County,4,1
2001,Spokane County,58,23
2001,Stevens County,7,3
2001,Whitman County,7,5
2002,Kootenai County,30,11
2002,Latah County,11,3
2002,Lincoln County,5,3
2002,Pend Oreille County,3,1
2002,Spokane County,82,35
2002,Stevens County,12,5
2002,Whitman County,8,8
2003,Kootenai County,21,10
2003,Latah County,10,4
2003,Lincoln County,2,0
2003,Pend Oreille County,2,1
2003,Spokane County,80,34
2003,Stevens County,7,3
2003,Whitman County,4,2
2004,Kootenai County,20,7
2004,Latah County,12,5
2004,Lincoln County,3,0
2004,Pend Oreille County,2,1
2004,Spokane County,59,28
2004,Stevens County,10,4
2004,Whitman County,11,5
2005,Kootenai County,29,12
2005,Latah County,15,9
2005,Lincoln County,2,0
2005,Spokane County,73,32
2005,Stevens County,6,2
2005,Whitman County,4,1
2006,Kootenai County,29,18
2006,Latah County,12,3
2006,Pend Oreille County,1,0
2006,Spokane County,62,37
2006,Stevens County,11,8
2006,Whitman County,1,0
2007,Kootenai County,10,4
2007,Latah County,15,9
2007,Lincoln County,2,2
2007,Pend Oreille County,2,2
2007,Spokane County,69,36
2007,Stevens County,4,1
2007,Whitman County,7,7
2008,Kootenai County,23,14
2008,Latah County,6,3
2008,Lincoln County,3,3
2008,Pend Oreille County,2,2
2008,Spokane County,74,48
2008,Stevens County,7,5
2008,Whitman County,10,5
2009,Kootenai County,30,16
2009,Latah County,12,6
2009,Lincoln County,1,0
2009,Pend Oreille County,4,2
2009,Spokane County,72,41
2009,Stevens County,10,3
2009,Whitman County,8,4
2010,Kootenai County,25,15
2010,Latah County,7,4
2010,Pend Oreille County,1,1
2010,Spokane County,63,33
2010,Stevens County,6,4
2010,Whitman County,8,5
2011,Kootenai County,20,12
2011,Latah County,7,6
2011,Lincoln County,1,1
2011,Pend Oreille County,3,3
2011,Spokane County,74,45
2011,Stevens County,9,6
2011,Whitman County,6,3
2012,Kootenai County,24,8
2012,Lincoln County,3,3
2012,Pend Oreille County,3,3
2012,Spokane County,66,38
2012,Stevens County,16,13
2012,Whitman County,4,3
2013,Kootenai County,53,11
2013,Latah County,14,4
2013,Lincoln County,2,0
2013,Pend Oreille County,3,2
2013,Spokane County,69,41
2013,Stevens County,10,7
2013,Whitman County,5,4
2014,Kootenai County,63,42
2014,Latah County,23,14
2014,Lincoln County,26,17
2014,Pend Oreille County,28,11
2014,Spokane County,236,131
2014,Stevens County,47,23
2014,Whitman County,44,29
2015,Kootenai County,42,31
2015,Latah County,13,8
2015,Lincoln County,1,1
2015,Pend Oreille County,4,1
2015,Spokane County,119,72
2015,Stevens County,17,11
2015,Whitman County,14,11
2016,Kootenai County,44,26
2016,Latah County,13,9
2016,Lincoln County,1,1
2016,Pend Oreille County,3,3
2016,Spokane County,108,68
2016,Stevens County,13,10
2016,Whitman County,9,7
2017,Kootenai County,54,34
2017,Latah County,12,8
2017,Lincoln County,4,4
2017,Pend Oreille County,3,3
2017,Spokane County,115,65
