ein,name,city,zip,county,county_state,lat,lon,ruling_year,ntee,ntee_major,ntee_major_name,subsector,subsector_name,ntee_code_definition,subsection_code,foundation_code,revenue,income,assets,state
82-0510754,Saint Joseph Seminary,Rathdrum,83858,Kootenai County,"Kootenai County, ID",47.8099996055747,-116.990204830776,1999.0,B50,B,Education,UNI,Universities,"Graduate, Professional Schools (Separate Entities)",3,11,,,,ID
82-0512700,Brown Family Foundation,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.7365998484334,-116.942125960731,2000.0,I11,I,Crime & Legal-Related,HMS,Human Services,Single Organization Support,3,4,,170.0,145.0,ID
82-0515081,Lakeland Booster Club,Rathdrum,83858,Kootenai County,"Kootenai County, ID",47.826963,-116.8683615,2009.0,B11,B,Education,EDU,Education,Single Organization Support,3,16,124768.0,193084.0,102212.0,ID
82-0515613,Lake City Lighthouse,Hayden,83835,Kootenai County,"Kootenai County, ID",47.7879945342205,-116.795313,2000.0,X20,X,Religion-Related,REL,Religion,Christianity,3,10,,,,ID
82-0516255,General Conference Of Seventh Day Adventist,Moscow,83843,Latah County,"Latah County, ID",46.729269,-117.000005517947,1947.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,10,,,,ID
82-0516516,Alpha Gamma Rho Fraternity-Beta Phi Chapter,Moscow,83843,Latah County,"Latah County, ID",46.731042,-117.012429,2023.0,B83,B,Education,EDU,Education,"Student Sororities, Fraternities",7,0,195405.0,195405.0,12887.0,ID
82-0517225,Golden Blue Lotus Tara Tibetan Buddhist Meditation Center,Moscow,83843,Latah County,"Latah County, ID",46.7308449097502,-117.001435662861,2002.0,X50,X,Religion-Related,REL,Religion,Buddhism,3,10,,,,ID
82-0517339,Spirit Lake Historical Society,Spirit Lake,83869,Kootenai County,"Kootenai County, ID",47.979288,-116.84682,2017.0,W99,W,Public & Societal Benefit,PSB,Public & Societal Benefit,"Public, Society Benefit N.E.C.",3,15,0.0,0.0,0.0,ID
82-0517557,Little League Baseball,Spirit Lake,83869,Kootenai County,"Kootenai County, ID",47.9605422675573,-116.85235696728,1981.0,N63,N,Recreation & Sports,HMS,Human Services,"Baseball, Softball",3,15,79128.0,79128.0,8211.0,ID
82-0517596,Coeur D Alene Hockey Association,Post Falls,83877,Kootenai County,"Kootenai County, ID",47.709648,-116.91585,2001.0,N68,N,Recreation & Sports,HMS,Human Services,Winter Sports,3,16,291869.0,291869.0,134562.0,ID
82-0518211,Knights Of Columbus,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.6972945431359,-116.887086,1940.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,8,0,0.0,0.0,0.0,ID
82-0518256,Friends Of The Moscow Library,Moscow,83843,Latah County,"Latah County, ID",46.7335752143064,-116.998600172165,2000.0,B11,B,Education,EDU,Education,Single Organization Support,3,15,0.0,0.0,0.0,ID
82-0518701,Latah County Community Foundation,Moscow,83843,Latah County,"Latah County, ID",46.7192360083672,-116.983939507531,2000.0,T31,T,Philanthropy & Grantmaking,PSB,Public & Societal Benefit,Community Foundations,3,4,,193285.0,727273.0,ID
82-0518958,Autism Society Of America,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.6762679322811,-116.764831315078,1992.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,15,0.0,0.0,0.0,ID
82-0519230,Mica Kidd Island Fire Protection District,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.6211994327425,-116.863161432974,2025.0,M24,M,Public Safety & Disaster Relief,HMS,Human Services,Fire Prevention,3,15,,,,ID
82-0519693,Kenworthy Performing Arts Centre,Moscow,83843,Latah County,"Latah County, ID",46.7307500605055,-117.001350191471,2000.0,A65,A,"Arts, Culture & Humanities",ART,Arts & Culture,Theater,3,15,628206.0,628206.0,713711.0,ID
82-0521072,Bayview Bible Church,Bayview,83803,Kootenai County,"Kootenai County, ID",47.980287,-116.5607685,2009.0,X21,X,Religion-Related,REL,Religion,Protestant,3,10,,,,ID
82-0521701,Marine Corps League,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.7334437885335,-116.903739860811,1946.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,4,0,0.0,0.0,0.0,ID
82-0522106,Gem Community Citizens Projects Group,Hayden,83835,Kootenai County,"Kootenai County, ID",47.775114,-116.7681915,2005.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,15,187214.0,358976.0,219056.0,ID
82-0522484,Potlatch Historical Society,Potlatch,83855,Latah County,"Latah County, ID",46.941246,-116.916489,2023.0,T50,T,Philanthropy & Grantmaking,PSB,Public & Societal Benefit,"Philanthropy, Charity, Voluntarism Promotion",3,15,0.0,0.0,0.0,ID
82-0523432,Lets Save America Foundation,Coeur D Alene,83816,Kootenai County,"Kootenai County, ID",47.673972,-116.776872,2005.0,B19,B,Education,EDU,Education,Nonmonetary Support N.E.C.,3,15,0.0,0.0,0.0,ID
82-0523475,Coeur Dalene Symphony Orchestra,Coeur D Alene,83816,Kootenai County,"Kootenai County, ID",47.673972,-116.776872,2001.0,A69,A,"Arts, Culture & Humanities",ART,Arts & Culture,Symphony Orchestras,3,15,253313.0,253313.0,144821.0,ID
82-0524193,Eleventh Street Dockowners Association,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.6953904723587,-116.800643193058,2001.0,N50,N,Recreation & Sports,HMS,Human Services,Recreational l Clubs,7,0,311842.0,311842.0,1843959.0,ID
82-0524581,Hayden True North,Hayden,83835,Kootenai County,"Kootenai County, ID",47.767941,-116.786525983813,1963.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,10,,,,ID
82-0524835,Music Teachers National Association,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.654797694414,-116.738782836257,1900.0,B03,B,Education,EDU,Education,"Professional Societies, Associations",3,16,0.0,0.0,0.0,ID
82-0525297,Washington Idaho & Montana Railway History Preservation Group,Potlatch,83855,Latah County,"Latah County, ID",46.941246,-116.916489,2001.0,N20,N,Recreation & Sports,HMS,Human Services,Camps,3,15,0.0,0.0,0.0,ID
82-0525437,North Idaho Bmx,Coeur D Alene,83816,Kootenai County,"Kootenai County, ID",47.673972,-116.776872,2016.0,N70,N,Recreation & Sports,HMS,Human Services,Amateur Sports Competitions,3,15,0.0,0.0,0.0,ID
82-0525740,Its About Lives Ministries,Hayden,83835,Kootenai County,"Kootenai County, ID",47.775114,-116.7681915,2001.0,X20,X,Religion-Related,REL,Religion,Christianity,3,4,,147454.0,67612.0,ID
82-0526276,Northwest Harvest Church,Harrison,83833,Kootenai County,"Kootenai County, ID",47.4338205023946,-116.759007514831,2002.0,X21,X,Religion-Related,REL,Religion,Protestant,3,10,,,,ID
82-0526712,Temple Of All-Avatar,Coeur Dalene,83816,Kootenai County,"Kootenai County, ID",47.6739700000001,-116.77687,2001.0,X99,X,Religion-Related,REL,Religion,Religion Related N.E.C.,3,10,,,,ID
82-0527600,Schneidmiller Family Foundation,Post Falls,83854,Kootenai County,"Kootenai County, ID",47.7231549045242,-116.958785553898,1900.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,4,,282394.0,315940.0,ID
82-0529988,National Association Of Benefits And Ins Professionals - Pacific Nw Chapter,Hayden,83835,Kootenai County,"Kootenai County, ID",47.767536,-116.805492,2002.0,Y20,Y,Mutual & Membership Benefit,MMB,Mutual & Membership Benefit,Insurance Providers,6,0,0.0,0.0,0.0,ID
82-0530840,Nami Coeur D Alene,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.6862984671359,-116.784045,2006.0,F70,F,Mental Health & Crisis Intervention,HEL,Health,Mental Health Disorders,3,15,0.0,0.0,0.0,ID
82-0531600,Greater Hayden-Hayden Lake Chamber Of Commerce,Hayden,83835,Kootenai County,"Kootenai County, ID",47.74608,-116.786652005598,1900.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,6,0,174619.0,174619.0,85889.0,ID
82-0535028,Athol Baptist Church,Athol,83801,Kootenai County,"Kootenai County, ID",47.93652,-116.6966235,1964.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,10,,,,ID
82-0535692,New Covenant Missions,Coeur D Alene,83814,Kootenai County,"Kootenai County, ID",47.6827878947696,-116.79187460523,2002.0,Q30,Q,International Affairs,IFA,International,International Development,3,16,2358467.0,2358467.0,361474.0,ID
82-0536146,Disabled American Veterans Auxiliary,Hayden,83835,Kootenai County,"Kootenai County, ID",47.7455297740781,-116.807532199867,1973.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,4,0,0.0,0.0,0.0,ID
82-0536469,Jobs Daughters International,Rathdrum,83858,Kootenai County,"Kootenai County, ID",47.8294035087426,-116.791751051446,2001.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,15,0.0,0.0,0.0,ID
82-0536775,Hog Heaven Muzzleloaders,Moscow,83843,Latah County,"Latah County, ID",46.730574,-116.9923185,2003.0,T20,T,Philanthropy & Grantmaking,PSB,Public & Societal Benefit,Private Grantmaking Foundations,7,0,0.0,0.0,0.0,ID
82-0537455,Lake City Community Church Of The Assemblies Of God,Coeur D Alene,83815,Kootenai County,"Kootenai County, ID",47.7269868928674,-116.808182921664,1964.0,UNDEFINED,U,Science & Technology,UNU,Unclassified,UNDEFINED,3,10,,,,ID
82-0537876,Swing Devils Of The Palouse,Moscow,83843,Latah County,"Latah County, ID",46.71989640715,-117.013130230769,2019.0,A62,A,"Arts, Culture & Humanities",ART,Arts & Culture,Dance,3,16,0.0,0.0,0.0,ID
82-0539054,Calvary Rathdrum,Rathdrum,83858,Kootenai County,"Kootenai County, ID",47.8093268664955,-116.893928695424,2002.0,X21,X,Religion-Related,REL,Religion,Protestant,3,10,,,,ID
